N,Group1,Treatment,Experiment,Dose,Replicate,BodyWgt0,BodyWgt1,BodyWgt2,BodyWgt3,BodyWgt4,BodyWgt5,BodyWgt6,BodyWgt7,BodyWgt8,BodyWgt9,BodyWgt10,BodyWgt11,BodyWgt12,BodyWgtAVEwk1,BodyWgtAVE,FecalWgt1,FecalWgt2,FecalWgt3,FecalWgt4,FecalWgt5,FecalWgt6,FecalWgt7,FecalWgt8,FecalWgt9,FecalWgt10,FecalWgt11,FecalWgt12,FecalWgtAVEwk1,FecalWgtAVE,Urine_ml1,Urine_ml2,Urine_ml3,Urine_ml4,Urine_ml5,Urine_ml6,Urine_ml7,Urine_ml8,Urine_ml9,Urine_ml10,Urine_ml11,Urine_ml12,Urine_mlAVEwk1,Urine_mlAVE,Water_ml1,Water_ml2,Water_ml3,Water_ml4,Water_ml5,Water_ml6,Water_ml7,Water_ml8,Water_ml9,Water_ml10,Water_ml11,Water_ml12,Water_mlAVEwk1,Water_mlAVE,Food1,Food2,Food3,Food4,Food5,Food6,Food7,Food8,Food9,Food10,Food11,Food12,FoodAVEwk1,FoodAVE,Dose1,Dose2,Dose3,Dose4,Dose5,Dose6,Dose7,Dose8,Dose9,Dose10,Dose11,Dose12,DoseAVEwk1,DoseAVE
1,control,Nothing,AP,none0,A,219.4,233.3,242.5,256.5,266.6,277.7,294.5,301.8,312.6,320.2,334.2,342,352.8,261.9,288.8,14.5,11.4,9.4,9.2,11,,9.8,11.5,11.9,12.3,13.2,12.6,11.1,11.5,23,23,15,15,16.5,,23.5,25.5,23,19,23,21.5,18.5,20.7,46,42,40,46,47,,40,49,46,53,47,53,44.2,46.3,24.2,25,27.6,27.9,22.9,,25.2,32.9,21,,27.6,30.6,25.5,34.7,0,0,0,0,0,,0,0,0,0,0,0,0,0
2,control,Nothing,AP,none0,A,218.3,230.1,242.6,250.8,260.5,270,291.5,302.6,309.3,323.4,330.2,337.1,349.8,257.6,285.9,9.6,9.7,9.5,9.6,10.2,,11.9,8.9,12.7,12.2,9.1,10.9,9.7,10.4,17,12.5,13,14,12.5,,19,21.5,17.5,19.5,16.5,16,13.8,16.3,30,49,46,49,38,,39,40,74,45,47,46,42.4,45.7,21.9,25.9,23.2,26.6,16.3,,26,31.3,26.5,,30,25.1,22.8,33.6,0,0,0,0,0,,0,0,0,0,0,0,0,0
3,control,Nothing,AP,none0,A,222.4,228.3,243.7,251.3,257.7,271,289.2,296,307.7,308.4,323.1,328,333.2,256.9,281.5,10.3,9,10,13.6,9,,9.5,9.6,11.1,8.3,9.9,10.3,10.4,10.1,16,14,15.5,14,13.5,,19,19,18.5,16,17.5,15,14.6,16.2,30,41,52,54,42,,41,46,38,45,41,40,43.8,42.7,23.7,22.2,24.2,25.3,35.6,,23.7,35.6,19.8,,25.4,33.0,26.2,35.2,0,0,0,0,0,,0,0,0,0,0,0,0,0
4,APlow,AP,AP,low.3,A,225.6,229.4,243.7,247.9,255.7,263.2,277.5,286.1,302.1,303.3,314.7,318.2,327.9,252.9,276.6,12.4,11,10.4,12.3,11.8,,11,10.2,12.4,9.7,14.3,12.2,11.6,11.6,14,14.5,13,13,12.5,,15,14.5,17.5,15.5,14.5,14,13.4,14.4,34,50,45,37.5,36,,36,39,34,50,34,38,40.5,39.4,22,26.7,19.9,25.7,49.1,,23.7,41.8,35.1,,26.2,13.9,28.7,37.6,10.2,15,13.5,11.3,10.8,,10.8,11.7,10.2,15,10.2,11.4,12.2,11.8
5,APlow,AP,AP,low.3,A,205.4,210.6,220.5,225.7,232.6,238.5,250,264.3,269.8,279.4,288.6,294.2,306.8,229.7,252.8,10,8.7,7,7.8,8.4,,9.5,7.7,9.4,9,11.4,9.1,8.4,8.9,13,12.5,12,12.5,11.8,,13,14,13.5,12.5,13,10,12.4,12.5,27,55,23,29,25,,35,26,27,28,26,28,31.8,29.9,20.5,21.8,20.5,21.5,46.2,,23.3,38.5,46.3,,25.3,,26.1,29.3,8.1,16.5,6.9,8.7,7.5,,10.5,7.8,8.1,8.4,7.8,8.4,9.5,9
6,APlow,AP,AP,low.3,A,236.7,240.1,247,252.1,257.8,263.2,280.5,290.3,302.1,304,315,318.2,326.8,256.8,279.5,11.2,9,9.4,8.8,7.9,,4.2,11.6,8.6,10.2,11.4,9.4,9.3,9.2,13,11.5,10,8,9.5,,0.5,,,7.5,8.5,6,10.4,8.3,30,54,27,30,27,,33,37,28,30,28,32,33.6,32.4,19.9,22.1,24.4,17.4,63.5,,19.9,46.3,39.7,,25.4,21.3,29.5,39,9,16.2,8.1,9,8.1,,9.9,11.1,8.4,9,8.4,9.6,10.1,9.7
7,APmed,AP,AP,med1,A,208,202.5,202.9,202.1,209.7,215.3,233,240.4,250.3,256.5,263.9,269.4,280.5,210.9,233.4,8.4,6.5,5.4,6,6.2,,9.4,7.8,9.4,9.5,9.1,8.2,6.5,7.8,13,5,4,3.5,3.4,,12,9.5,11,7.5,7.5,7.5,5.8,7.6,22,37,15,19,21,,28,28,24,26,25,28,22.8,24.8,17.1,14.8,13.4,16.1,52,,20.1,44.9,49.3,,22.8,,22.7,27.8,22,37,15,19,21,,28,28,24,26,25,28,22.8,24.8
8,APmed,AP,AP,med1,A,199.5,195.7,198.3,203.3,211.7,215.7,231..3,241.8,248.7,256,265,269.8,282,204.9,232.3,6.4,4.6,6.6,5.9,5.9,,6.1,7.8,7.8,7.7,9.6,7.6,5.9,6.9,13,4.5,5,4,3.8,,2.4,8,5,6,4,2,6.1,5.2,8,26,20,27.5,18,,30,27,27,28,25,30,19.9,24.2,15,13.6,15.6,17.2,67.9,,19.4,45.7,46.5,,22.8,14.0,25.9,36.4,8,26,20,27.5,18,,30,27,27,28,25,30,19.9,24.2
9,APmed,AP,AP,med1,A,220.8,208.1,199.9,194.3,191.7,192,207.9,219.1,227.3,239.1,246.1,256.8,264.7,199,220.6,9.5,4,2.3,2.1,2.3,,6.8,8,9.3,10,10,10.1,4,6.8,8,3.5,2.5,2,2.5,,8.5,11,6.5,5,5.5,6,3.7,5.5,10,16,20,20,18,,30,24,29,28,29,28,16.8,22.9,12.3,11.2,7.1,8.1,87.1,,18,,40.8,,25.3,22.7,25.2,34.6,10,16,20,20,18,,30,24,29,28,29,28,16.8,22.9
10,APhigh,AP,AP,high3.3,A,189.5,177.6,168.6,161.7,156.1,152.1,154,160.1,166.2,,116.3,,176,161.7,161.7,7.1,2.8,1.4,1.1,1.6,,5.6,,,7.4,7.5,5.8,2.8,4.5,9,5,2.5,1,2,,7,5.3,,2,4.5,2.2,3.9,4.1,3,4,3,4,6,,26,25,,,26,24,4,13.4,13,9.1,3,4.3,68.7,,8.8,,,,,,19.6,17.8,9.9,13.2,9.9,13.2,19.8,,85.8,82.5,,,85.8,79.2,13.2,44.4
11,APhigh,AP,AP,high3.3,A,240.1,225,221.4,216.9,215.3,214.9,228,234.6,241.6,249,253.6,257.6,265.8,220.3,235.7,7.5,5.9,2.9,3.4,3.8,,4.4,7,7.8,6.9,,7.6,4.7,5.7,15,6.5,3,1,1.2,,2,4.5,6,5,2.7,2.7,5.3,4.5,10,22,10,20,13,,23,23,25,23,23,25,15,19.7,15,12.2,9.3,12.8,84.2,,16.1,59.9,46.7,,28,29.1,26.7,39.7,33,72.6,33,66,42.9,,75.9,75.9,,,75.9,82.5,49.5,65.1
12,APhigh,AP,AP,high3.3,A,209.7,194.3,184.1,177,169.5,162.1,157.7,162,167.3,170.6,171.6,176,180,174.1,175.5,,2.3,1.4,1.3,1.1,,2.9,4.7,5.9,7.3,6.1,8.3,1.5,4.1,,3,1,1,1.5,,2.5,3.5,5,6.5,2.6,2.5,1.6,2.9,9,12,6,5,5,,17,19,19,20,20,22,7.4,14,,12.2,,5.2,33.4,,10.8,27.9,64.1,,16.9,,16.9,24.4,29.7,39.6,19.8,16.5,16.5,,56.1,62.7,62.7,66,66,72.6,24.4,46.2
13,control,Nothing,AP,none0,B,228.5,245.5,253,263.1,272,279.4,293.8,308.6,315.6,321.4,327.6,335.6,343.3,267.8,291.3,6.6,8.3,7.2,7.9,9.3,,13.3,11.2,12.2,14.1,,14,7.9,10.4,11.5,15,12.5,14,15.5,,14,25.5,12.5,13,23,7,13.7,14.9,37,45,38,38,41,,45,36,37,52,47,41,39.8,41.5,23.8,24,24.4,21.8,36.6,,27.7,30.8,37.3,,31.1,23.6,26.1,36.6,0,0,0,0,0,,0,0,0,0,0,0,0,0
