AnimalID,Group,Drug,Dose,Replicate,BodyWgt1,BodyWgt2,BodyWgt3,BodyWgt4,BodyWgt5,BodyWgt6,BodyWgt7,BodyWgt8,BodyWgt9,BodyWgt10,BodyWgt11,BodyWgt12,BodyWgt13,BodyWgtAVEwk1,BodyWgtAVE,FecalWgt1,FecalWgt2,FecalWgt3,FecalWgt4,FecalWgt5,FecalWgt6,FecalWgt7,FecalWgt8,FecalWgt9,FecalWgt10,FecalWgt11,FecalWgt12,FecalWgtAVEwk1,FecalWgtAVE,Urine_ml1,Urine_ml2,Urine_ml3,Urine_ml4,Urine_ml5,Urine_ml6,Urine_ml7,Urine_ml8,Urine_ml9,Urine_ml10,Urine_ml11,Urine_ml12,Urine_mlAVEwk1,Urine_mlAVE,Water_ml1,Water_ml2,Water_ml3,Water_ml4,Water_ml5,Water_ml6,Water_ml7,Water_ml8,Water_ml9,Water_ml10,Water_ml11,Water_ml12,Water_mlAVEwk1,Water_mlAVE,Food1,Food2,Food3,Food4,Food5,Food6,Food7,Food8,Food9,Food10,Food11,Food12,FoodAVEwk1,FoodAVE,Dose1,Dose2,Dose3,Dose4,Dose5,Dose6,Dose7,Dose8,Dose9,Dose10,Dose11,Dose12,DoseAVEwk1,DoseAVE
1004,34-DAP,Nothing,0.0,E,270.5,242.4,256.4,262.5,261.2,268.9,270.5,281.1,287,290,276.3,280,280.7,260.3166667,271.3461538,14.53,14.21,11.9,5.74,6.9,13.53,9.85,11.21,13.29,9.27,8.38,9.98,11.135,10.7325,20.57,15.57,14.79,,,19.53,20.2,17.8,17.06,8.05,10.02,8.83,17.615,15.242,48.01,40.93,41.97,,,74.01,46.08,40.02,44.52,50.7,36.38,32.79,51.23,45.541,37.35,28.48,42.33,,,30.38,39.12,33.48,37.63,58.88,25.87,31.84,34.635,36.536,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1009,34-DAP,Nothing,0.0,E,266,236.3,244.9,254.8,256.7,263.6,266,273.5,273,272.1,278.7,279,278,253.7166667,264.8153846,12.44,13.26,12.73,8.85,8.52,17.43,12.99,13.12,15.12,12.08,14.95,11,12.205,12.7075,25.32,15.94,16.64,,,18.99,16.55,18.22,19.75,11.56,11.01,10.52,19.2225,16.45,49.93,42.14,48.64,,,80.24,42.57,42.95,52.96,44.49,37.86,41.63,55.2375,48.341,31.02,28.82,28.91,,,30.62,31.72,28.8,36.16,26.89,33.59,25.79,29.8425,30.232,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1012,34-DAP,Nothing,0.0,E,254.3,236.2,243.8,247.5,250,255.1,254.3,261.7,263.7,262,259.4,268.2,273,247.8166667,256.0923077,13.82,13.42,14.32,7.32,7.04,14.78,10.3,12.09,11.48,9.53,8.44,10.27,11.78333333,11.0675,24.95,22.1,20.23,,,26.81,18.95,16.65,21.8,11.83,9.78,10.59,23.5225,18.369,53.44,42.54,46.58,,,85.13,41.93,43.57,50.52,50.81,40,45.78,56.9225,50.03,31.27,25.11,31.25,,,29.44,28.94,26.18,26.39,23.14,25.7,28.93,29.2675,27.635,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1144,34-DAP,Nothing,0.0,F,228.2,223.4,236.6,237.2,241.3,249.6,249,254.1,253.6,259.8,261.4,266.2,275.1,239.5166667,248.8846154,18.7,9.77,11.88,9.22,8.79,5.94,6.3,12.82,7.72,9.32,10.29,7.82,10.71666667,9.880833333,23.51,14.77,15.96,13.71,9.62,,,21.78,14.88,12.82,16.04,10.37,15.514,15.346,71.42,31.96,64.7,33.21,65.67,,,46.72,33.9,33.92,33.62,32.73,53.392,44.785,27.34,26.2,29.13,22.52,27.91,,,46.44,33.63,37.32,35.68,35.17,26.62,32.134,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1138,34-DAP,Nothing,0.0,F,228.2,235,234.5,233.7,240,249.9,243.5,251.5,253,254.8,260.4,257.5,269,239.4333333,247,18.57,10.96,14.43,11.75,14.21,5.71,7.21,14.52,12.57,10.08,11.26,10.28,12.605,11.79583333,11.21,11.36,11.57,10.33,6.95,,,18.66,11.48,12.18,9.57,6.65,10.284,10.996,50.53,41.49,39.39,43.47,43.7,,,51.18,38.01,36.44,36.48,40.34,43.716,42.103,26.59,24.53,30.67,20.89,25.96,,,30.13,24.38,23.85,24.78,25.56,25.728,25.734,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1141,34-DAP,Nothing,0.0,F,251.4,249.4,255.3,259,258.6,272.8,270,278,273,284,284.8,283.5,292.4,260.85,270.1692308,15.02,12.64,8.72,12.29,10.84,6.89,7.66,13.21,6.74,9.54,10.78,10.03,11.06666667,10.36333333,16.69,9.53,10.74,9.99,6.75,,,24.64,13.56,14.96,11.29,9.34,10.74,12.749,45.74,37.64,36.65,35.72,37.81,,,44.11,33.12,33.47,31.6,30.76,38.712,36.662,39.28,31.19,28.83,25.81,35.96,,,35.09,39.66,32.02,31.65,24.16,32.214,32.365,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1002,34-DAP,34-DAP,0.3,E,267,231.1,238.2,244,249,259.7,267,270,275,275.2,279.5,285.2,285,248.1666667,263.5307692,12.14,9.54,10.93,4.53,6.41,15.76,10.91,11.94,12.76,12.31,12.63,9.69,9.885,10.79583333,10.56,5.62,4.71,,,13.56,9.84,7.67,6.56,5.88,2.73,0.62,8.6125,6.775,31.79,25.66,34.04,,,72.97,28.76,27.91,31.93,32.16,32.14,26.78,41.115,34.414,22.44,28.47,32.32,,,36.24,31.7,29.92,32.18,36.31,30.95,34.52,29.8675,31.505,9.537,7.698,10.212,0,0,21.891,8.628,8.373,9.579,9.648,9.642,8.034,8.223,10.3242
1008,34-DAP,34-DAP,0.3,E,266.1,230,239.5,243.7,248.4,256,266.1,271,273.6,275.8,280.5,281.6,277.5,247.2833333,262.2923077,11.82,9.31,13.23,3.75,9.18,14.9,12.04,12.96,13.77,12.27,13.6,10.43,10.365,11.43833333,9.37,5.9,6.53,,,11.36,9.95,8.79,9.42,,6.38,4.35,8.29,8.005555556,33.89,26.22,31.43,,,39.31,29.37,28.16,35.25,30.48,27.89,28.43,32.7125,31.043,32.9,25.38,26.91,,,36.47,32.03,30.27,33.23,36.11,27.5,30.04,30.415,31.084,10.167,7.866,9.429,0,0,11.793,8.811,8.448,10.575,9.144,8.367,8.529,6.5425,9.3129
1013,34-DAP,34-DAP,0.3,E,254.1,229.6,238.4,245.6,240.4,250,254.1,264,265.2,268.72,265,270,273.5,243.0166667,255.2784615,13.21,10.8,13.37,7.02,5.88,14.96,13.89,14.53,17.14,11.66,11.99,12.13,10.87333333,12.215,,,,,,9,6.04,9.06,3.95,6.22,9.61,4.99,9,6.981428571,37.81,32.19,38.48,,,37.69,32,35.88,41.91,31.89,36.89,35.22,36.5425,35.996,30.71,28.18,36.43,,,32.26,34.19,29.11,26.12,27.56,29.79,28.07,31.895,30.242,11.343,9.657,11.544,0,0,11.307,9.6,10.764,12.573,9.567,11.067,10.566,7.3085,10.7988
1140,34-DAP,34-DAP,0.3,F,233.9,231,239.7,240,239.5,249.5,245.5,252,251.6,257,257.7,260.5,269.1,240.8666667,248.2307692,13.51,7.66,9.5,8.76,9.46,5.42,5.82,11.31,7.39,8.64,10.63,7.85,9.051666667,8.829166667,18.44,7.87,9.2,5.42,3.9,,,11.86,8.09,8.74,5.9,2.95,8.966,8.237,34.32,25.8,24.55,21.46,25.27,,,27.14,28.04,22.07,25.66,21.71,26.28,25.602,26.63,26.57,26.26,24.88,26.95,,,40.55,38.02,27.05,23.36,25.23,26.258,28.55,10.296,7.74,7.365,6.438,7.581,0,0,8.142,8.412,6.621,7.698,6.513,6.57,7.6806
